100
# x y z
0	0	0
0.5	0	0
1	0	0
1.5	0	0
2	0	0
2.5	0	0
3	0	0
3.5	0	0
4	0	0
4.5	0	0
5	0	0
5.5	0	0
6	0	0
6.5	0	0
7	0	0
7.5	0	0
8	0	0
8.5	0	0
9	0	0
9.5	0	0
10	0	0
10.5	0	0
11	0	0
11.5	0	0
12	0	0
12.5	0	0
13	0	0
13.5	0	0
14	0	0
14.5	0	0
15	0	0
15.5	0	0
16	0	0
16.5	0	0
17	0	0
17.5	0	0
18	0	0
18.5	0	0
19	0	0
19.5	0	0
20	0	0
20.5	0	0
21	0	0
21.5	0	0
22	0	0
22.5	0	0
23	0	0
23.5	0	0
24	0	0
24.5	0	0
25	0	0
25.5	0	0
26	0	0
26.5	0	0
27	0	0
27.5	0	0
28	0	0
28.5	0	0
29	0	0
29.5	0	0
30	0	0
30.5	0	0
31	0	0
31.5	0	0
32	0	0
32.5	0	0
33	0	0
33.5	0	0
34	0	0
34.5	0	0
35	0	0
35.5	0	0
36	0	0
36.5	0	0
37	0	0
37.5	0	0
38	0	0
38.5	0	0
39	0	0
39.5	0	0
40	0	0
40.5	0	0
41	0	0
41.5	0	0
42	0	0
42.5	0	0
43	0	0
43.5	0	0
44	0	0
44.5	0	0
45	0	0
45.5	0	0
46	0	0
46.5	0	0
47	0	0
47.5	0	0
48	0	0
48.5	0	0
49	0	0
49.5	0	0
1443
# a b m n u i k rhoa
1	4	2	3	4.83918000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.52027000000000e+03
2	5	3	4	5.43128000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.70629000000000e+03
3	6	4	5	6.15466000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.93354000000000e+03
4	7	5	6	5.09780000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.60152000000000e+03
5	8	6	7	5.57611000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.75179000000000e+03
6	9	7	8	4.22744000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.32809000000000e+03
7	10	8	9	4.47742000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.40662000000000e+03
8	11	9	10	3.78745000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.18986000000000e+03
9	12	10	11	4.50671000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.41582000000000e+03
10	13	11	12	4.75351000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.49336000000000e+03
11	14	12	13	4.72047000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.48298000000000e+03
12	15	13	14	4.84095000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.52083000000000e+03
13	16	14	15	4.84382000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.52173000000000e+03
14	17	15	16	4.93361000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.54994000000000e+03
15	18	16	17	4.64929000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.46062000000000e+03
16	19	17	18	4.98481000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.56603000000000e+03
17	20	18	19	4.33768000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.36272000000000e+03
18	21	19	20	4.37998000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.37601000000000e+03
19	22	20	21	3.69074000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.15948000000000e+03
20	23	21	22	3.86146000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.21311000000000e+03
21	24	22	23	3.48593000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.09514000000000e+03
22	25	23	24	3.78150000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.18799000000000e+03
23	26	24	25	3.14071000000000e-02	1.00000000000000e-04	3.14159265358979e+00	9.86680000000000e+02
24	27	25	26	3.90581000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.22705000000000e+03
25	28	26	27	2.82116000000000e-02	1.00000000000000e-04	3.14159265358979e+00	8.86290000000000e+02
26	29	27	28	3.37136000000000e-02	1.00000000000000e-04	3.14159265358979e+00	1.05914000000000e+03
27	30	28	29	2.91615000000000e-02	1.00000000000000e-04	3.14159265358979e+00	9.16140000000000e+02
28	31	29	30	2.79708000000000e-02	1.00000000000000e-04	3.14159265358979e+00	8.78730000000000e+02
29	32	30	31	2.72817000000000e-02	1.00000000000000e-04	3.14159265358979e+00	8.57080000000000e+02
30	33	31	32	2.49368000000000e-02	1.00000000000000e-04	3.14159265358979e+00	7.83410000000000e+02
31	34	32	33	2.69979000000000e-02	1.00000000000000e-04	3.14159265358979e+00	8.48170000000000e+02
32	35	33	34	2.60996000000000e-02	1.00000000000000e-04	3.14159265358979e+00	8.19940000000000e+02
33	36	34	35	2.52269000000000e-02	1.00000000000000e-04	3.14159265358979e+00	7.92530000000000e+02
34	37	35	36	2.15768000000000e-02	1.00000000000000e-04	3.14159265358979e+00	6.77850000000000e+02
35	38	36	37	1.86848000000000e-02	1.00000000000000e-04	3.14159265358979e+00	5.87000000000000e+02
36	39	37	38	1.63220000000000e-02	1.00000000000000e-04	3.14159265358979e+00	5.12770000000000e+02
37	40	38	39	1.38572000000000e-02	1.00000000000000e-04	3.14159265358979e+00	4.35340000000000e+02
38	41	39	40	1.54374000000000e-02	1.00000000000000e-04	3.14159265358979e+00	4.84980000000000e+02
39	42	40	41	1.46522000000000e-02	1.00000000000000e-04	3.14159265358979e+00	4.60310000000000e+02
